course_no,course_name,canonical_dept_code,canonical_dept_name,opening_dept,year_term_range,first_year,first_term,latest_year,latest_term,grade_row_count,term_count,department_count,pdf_path,parse_status
SYB1180,심리측정및검사,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1180__심리측정및검사.pdf,ok
SYB1181,사이버수사개론,H0002256,서울 대학,대학(학부/서울),2019/2 ~ 2019/2,2019,2,2019,2,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB1181__사이버수사개론.pdf,ok
SYB2037,현대생활과건강관리,H0002256,서울 대학,대학(학부/서울),2001/1 ~ 2027/2,2001,1,2001,1,2,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2037__현대생활과건강관리.pdf,ok
SYB2039,회계와사회생활(이공회계),H0002256,서울 대학,대학(학부/서울),2001/1 ~ 2027/2,2001,1,2003,1,9,3,1,outputs/pdfs_seoul_university/서울_대학__SYB2039__회계와사회생활(이공회계).pdf,ok
SYB2049,디지털신호처리,H0002256,서울 대학,대학(학부/서울),2001/1 ~ 2019/2,2001,2,2015,2,8,5,1,outputs/pdfs_seoul_university/서울_대학__SYB2049__디지털신호처리.pdf,ok
SYB2056,인공지능,H0002256,서울 대학,대학(학부/서울),2001/1 ~ 2019/2,2001,1,2004,1,4,2,1,outputs/pdfs_seoul_university/서울_대학__SYB2056__인공지능.pdf,ok
SYB2089,미디어와사회,H0002256,서울 대학,대학(학부/서울),2001/1 ~ 2027/2,2001,2,2005,1,12,5,1,outputs/pdfs_seoul_university/서울_대학__SYB2089__미디어와사회.pdf,ok
SYB2095,여성복지론,H0002256,서울 대학,대학(학부/서울),2002/1 ~ 2019/2,2002,2,2017,1,9,3,1,outputs/pdfs_seoul_university/서울_대학__SYB2095__여성복지론.pdf,ok
SYB2100,교육프로그램평가,H0002256,서울 대학,대학(학부/서울),2015/1 ~ 2019/2,2018,1,2018,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2100__교육프로그램평가.pdf,ok
SYB2101,계량경제학의기초,H0002256,서울 대학,대학(학부/서울),2015/1 ~ 2019/2,2015,1,2015,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2101__계량경제학의기초.pdf,ok
SYB2102,시스템해킹실무,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2102__시스템해킹실무.pdf,ok
SYB2103,정보검색과빅데이터,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,3,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2103__정보검색과빅데이터.pdf,ok
SYB2104,창의적미술치료,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2104__창의적미술치료.pdf,ok
SYB2105,방과후아동지도론,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,5,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2105__방과후아동지도론.pdf,ok
SYB2106,시사영어청취,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2106__시사영어청취.pdf,ok
SYB2107,도시주택경제론,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2107__도시주택경제론.pdf,ok
SYB2108,다문화사회복지론,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2108__다문화사회복지론.pdf,ok
SYB2109,IMC전략의이해,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,2,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2109__IMC전략의이해.pdf,ok
SYB2110,신상품마케팅,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,4,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2110__신상품마케팅.pdf,ok
SYB2111,보도홍보실무론,H0002256,서울 대학,대학(학부/서울),2017/1 ~ 2019/2,2017,1,2017,1,1,1,1,outputs/pdfs_seoul_university/서울_대학__SYB2111__보도홍보실무론.pdf,ok
