campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0002739,피아노과,PNO2006,피아노전공실기4,2025,2,1999/1 ~ 2028/2,피아노과(학부/서울),,15.38,46.15,38.46,,,,,,,,,,2,6,5,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO2006__피아노전공실기4.pdf,,13
H0002256,H0002739,피아노과,PNO2007,피아노반주법1,2026,1,2006/1 ~ 2028/2,피아노과(학부/서울),42.11,,36.84,,21.05,,,,,,,,8,,7,,4,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO2007__피아노반주법1.pdf,,19
H0002256,H0002739,피아노과,PNO2009,피아노반주법2,2025,2,2006/1 ~ 2028/2,피아노과(학부/서울),70.59,23.53,,5.88,,,,,,,,,12,4,,1,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO2009__피아노반주법2.pdf,,17
H0002256,H0002739,피아노과,PNO3019,피아노전공실기5,2026,1,1999/1 ~ 2029/2,피아노과(학부/서울),,14.29,64.29,21.43,,,,,,,,,,2,9,3,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3019__피아노전공실기5.pdf,,14
H0002256,H0002739,피아노과,PNO3020,피아노전공실기6,2025,2,1999/1 ~ 2029/2,피아노과(학부/서울),,34.62,61.54,3.85,,,,,,,,,,9,16,1,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3020__피아노전공실기6.pdf,,26
H0002256,H0002739,피아노과,PNO3024,피아노반주법3,2017,1,2007/1 ~ 2017/2,피아노과(학부/서울),38.46,,42.31,,19.23,,,,,,,,10,,11,,5,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3024__피아노반주법3.pdf,,26
H0002256,H0002739,피아노과,PNO3028,피아노반주법4,2017,2,2007/1 ~ 2017/2,피아노과(학부/서울),32,8,40,,16,,,4,,,,,8,2,10,,4,,,1,,,,,ok,outputs/pdfs_full/피아노과__PNO3028__피아노반주법4.pdf,,25
H0002256,H0002739,피아노과,PNO3033,피아노앙상블1,2025,2,2011/1 ~ 2027/2,피아노과(학부/서울),83.33,16.67,,,,,,,,,,,10,2,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3033__피아노앙상블1.pdf,,12
H0002256,H0002739,피아노과,PNO3034,피아노앙상블2,2025,1,2011/1 ~ 2028/2,피아노과(학부/서울),100,,,,,,,,,,,,6,,,,,,,,,,,,ok,outputs/pdfs_full/피아노과__PNO3034__피아노앙상블2.pdf,,6
H0002256,H0002739,피아노과,PNO3037,Bach건반음악의이해,2017,1,2015/1 ~ 2017/2,피아노과(학부/서울),35.71,,7.14,35.71,14.29,,7.14,,,,,,5,,1,5,2,,1,,,,,,ok,outputs/pdfs_full/피아노과__PNO3037__Bach건반음악의이해.pdf,,14
